datetime,temp,dew,humidity,precip,snowdepth,windgust,windspeed,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-01-01,-0.7,-3.2,82.8,7.045,3.2,52.2,36.0,1017.7,94.9,8.2,13.8,1.1,1
2021-01-02,0.5,-1.7,85.2,0.0,2.1,46.1,19.8,1017.8,99.9,9.3,42.5,3.7,3
2021-01-03,-0.2,-2.4,85.4,1.054,0.8,24.8,14.9,1015.8,99.8,9.6,20.6,1.7,1
2021-01-04,-2.6,-4.3,88.3,0.0,0.8,29.5,19.7,1016.2,100.0,6.0,40.7,3.4,2
2021-01-05,0.2,-2.4,82.4,0.0,0.8,26.6,16.3,1020.2,99.0,11.4,42.6,3.6,2
2021-01-06,1.3,-2.3,77.3,0.0,0.6,18.0,12.7,1028.2,91.9,10.3,79.1,6.8,4
2021-01-07,2.6,-3.8,63.0,0.0,0.4,31.3,22.2,1028.2,99.7,15.7,19.7,1.7,1
2021-01-08,1.0,-3.8,70.3,0.267,0.2,40.5,27.1,1025.4,99.7,15.0,28.4,2.4,2
2021-01-09,0.0,-5.4,67.4,0.0,0.2,29.9,17.9,1026.6,86.6,16.0,76.4,6.6,4
2021-01-10,-2.0,-6.4,72.1,0.0,0.2,23.4,14.3,1027.7,97.3,15.9,28.5,2.4,1
2021-01-11,-3.2,-6.4,78.7,0.0,0.2,41.4,25.9,1025.1,96.6,13.5,29.2,2.3,1
2021-01-12,-0.3,-4.1,76.3,0.0,0.2,38.9,22.4,1018.7,33.8,14.8,97.6,8.4,5
2021-01-13,2.4,-1.7,74.5,0.0,0.1,34.2,20.2,1010.3,82.3,15.5,57.1,4.8,3
2021-01-14,2.5,-0.8,79.2,3.194,0.7,40.9,23.3,1001.2,77.2,14.6,45.3,4.0,3
2021-01-15,1.5,-1.5,80.9,0.104,0.0,34.2,16.7,999.3,84.0,14.7,45.6,4.1,2
2021-01-16,1.1,-1.6,82.8,1.574,0.1,41.8,18.9,1003.8,99.6,11.1,16.6,1.3,1
2021-01-17,-0.5,-2.9,83.7,1.004,0.1,21.2,14.8,1007.2,99.3,10.7,12.8,1.0,1
2021-01-18,-2.3,-6.5,73.0,0.0,0.3,35.3,23.7,1013.6,92.9,15.5,38.0,3.3,2
2021-01-19,-3.3,-7.4,73.9,0.429,0.6,48.7,32.6,1021.2,85.4,12.4,40.1,3.5,2
2021-01-20,-4.6,-10.1,65.6,0.0,0.9,57.4,32.4,1019.5,45.2,16.0,117.3,10.1,5
2021-01-21,2.0,-5.3,59.1,0.0,0.5,59.4,41.5,1008.1,34.1,16.0,116.9,10.1,5
2021-01-22,-7.2,-15.8,50.6,0.0,0.9,45.4,31.7,1021.0,17.7,16.0,119.0,10.2,5
2021-01-23,-5.9,-14.1,52.9,0.0,0.6,28.8,17.3,1028.6,55.3,16.0,113.7,9.9,5
2021-01-24,-0.5,-5.8,68.1,0.136,1.6,37.1,16.1,1020.3,100.0,14.2,41.3,3.5,2
2021-01-25,-0.1,-4.4,73.3,0.72,0.9,54.4,35.1,1016.1,100.0,12.6,12.2,1.1,1
2021-01-26,-0.9,-3.6,82.0,2.775,3.0,49.8,31.2,1013.2,100.0,7.1,6.3,0.5,0
2021-01-27,-4.5,-9.4,68.9,0.0,4.1,36.7,21.1,1028.9,83.4,16.0,10.5,1.0,0
2021-01-28,-7.8,-15.5,55.2,0.0,4.0,32.0,18.1,1037.4,32.6,16.0,110.9,9.6,5
2021-01-29,-3.6,-11.2,56.1,0.0,3.8,33.5,19.3,1030.4,68.9,16.0,125.0,10.8,5
2021-01-30,-0.5,-6.1,67.3,2.215,4.6,56.1,36.4,1018.5,96.3,11.2,27.8,2.5,1
2021-01-31,-0.4,-2.6,85.1,2.881,9.2,49.1,30.6,1014.2,99.9,4.1,10.3,0.7,0
